# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Name,Brand Name,Technical Name,Category,Product Brief,Mode,Crop,Target,Pack Sizes,Dosage,Features,Benefits,Image Link,Product Link
0,Lustre,Dhanuka,Flusilazole 12.5% + Carbendazim 25 % SE,Fungicides,"Lustre is a unique new combination of two systemic fungicides. It’s a broad spectrum, dual systemic fungicide which controls a wide range of fungal diseases. Its DSC technology provides longer duration control on diseases and helps the plant to attain its natural growth thereby improves the quality of products and enhances the yield and profit of farmers.","It has dual systemic action and acropetal & basipetal movement. It inhibits the development of fungi by interfering with spindle formation at mitosis. Lustre is a fungicide of Benzimidazole and Triazole group technology, its a broad and strong systemic fungicide which has Phyto-Tonic effect. Lustre interferes in process of building the structure of fungal cell wall. Finally it inhibits the reproduction and further growth of fungus. It also interferes with respiration in plant pathogenic fungi.","Paddy, Groundnut, Chilli, Apple",Flusilazole 12.5% + Carbendazim 25 % SE,"100 ml, 384 ml, 1 L","384 ml, 384 ml, 384-400 ml, 65ml/100 litre","Its broad spectrum control provides disease-free crop.
It has a great phyto-tonic effect, which gives farmers a lush green healthy crop.
Its DSC technology and acropetal & basipetal movement makes Lustre a powerful fungicide, which enables the farmers to get better quality and enhanced yield thereby assures more profit of farmland.",,https://www.dhanuka.com/storage/products/July2021/UPeVdR7FwvO6fAMkKMXa.png,https://www.dhanuka.com/fungicide/lustre
1,Godiwa Super,Dhanuka,Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,Fungicides,"Godiwa Super is a new generation combination fungicide containing Azoxystrobin 18.2% W/W & Difenoconazole 11.4% W/W SC. It’s a dual systemic broad-spectrum fungicide with protective and curative action. It offers not only disease control but also improves crop health, quality and yield of a crop.","It’s a dual systemic fungicide which inhibits spore germination at the early stage of fungal development. Thus, it protects the crop against invasion by fungal pathogens. It’s taken up by the plants and acts on the fungal pathogen during penetration and haustoria formation. Thus, it stops the development of fungi by interfering with the biosynthesis of sterols in the cell membrane.  ","Paddy, Tomato, Chilli, Maize, Wheat",Azoxystrobin 18.2% + Difenoconazole 11.4% w/w SC,"200 ml, 500 ml, 1 L","200 ml, 200 ml, 200 ml, 200 ml, 200 ml","Synergy of two advanced chemistry and have multisite action.
Dual mode of action, hence effective and provides longer duration control on diseases.
It’s an excellent tool for resistance management.
Translaminar and acropetal movement help in quicker and even dispersion in plant system.
More photosynthesis and healthy crop.",,https://www.dhanuka.com/storage/products/August2021/mBvJKvLx6N1Zg15z3cOq.png,https://www.dhanuka.com/fungicide/godiwa-super
2,Conika,Dhanuka,Kasugamycin 5% + Copper Oxychloride 45% WP,Fungicides,"Conika is a new combination product which has the power of fungicide and bactericide together to prevent the Bacterio-fungal complex formation in multiple crops. Its dual mode of action makes it an effective and powerful tool to prevent crops from fungal and bacterial diseases. Its timely application gives farmers a disease free healthy crop with super quality produce. It also provides longer duration control with broad application window, which makes it a perfect fit for Indian farmers.",It’s a contact and systemic fungicide which interferes with the enzyme system of spores and mycelium and it inhibits the protein bio-synthesis.,"Grapes, Paddy",Kasugamycin 5% + Copper Oxychloride 45% WP,"50 gm, 100 gm, 250 gm, 500 gm, 1 Kg","300 g, 300 gm","It has contact and systemic action, which gives all round protection to crops.
 It has broad and cross-spectrum control, which effectively inhibits Bacterio-fungal complex formation.
It’s rapidly absorbed by plant through its systemic action and translocate in the whole plant, which helps in restricting growth of disease causing organisms.",,https://www.dhanuka.com/storage/products/August2021/tawkZ3OllaugHBr56eMu.png,https://www.dhanuka.com/fungicide/conika
3,Cursor,Dhanuka,Flusilazole 40% EC,Fungicides,,Inhibiting ergosterol biosynthesis through direct inhibition of the 14α‐demethylation of ergosterol precursors.,"Paddy, Chilli",Flusilazole 40% EC,"50 ml, 100ml, 250 ml","120 ml, 40-60 ml","Most advanced Fungicide of Benzimidazole & Triazole group which has a broad spectrum and dual mode of action - Contact & Systemic.
Cursor has an excellent resistance management tool. It is rapidly absorbed by the plant by its systemic action and translocates in the whole plant, and restricts the growth of fungus.
It is boon to present age farmers as it enhances yield and superior quality produce. 
Quick & Long duration control
Phytotonic effect that results in excellent  shining & healthier crop
A silicon-based fungicide that gives instant results
Control every stage of the fungus
Healthy Crop
A cursor is compatible with commonly used fungicide and insecticide",,https://www.dhanuka.com/storage/products/August2021/AlZpP1elUIEKZLN9enjM.png,https://www.dhanuka.com/fungicide/cursor
4,Kasu-B,Dhanuka,Kasugamycin 3% SL,Fungicides,"Kasu-B (Kasugamycin 3% SL) is a systemic bactericide and fungicide. Due to its antibiotic systemic action, it translocates into the plants, very rapidly and effectively thus controls the diseases.","It inhibits protein biosynthesis, hence reduces bacterial growth & reproduction.",Paddy,Kasugamycin 3% SL,"50 ml, 250 ml, 500 ml, 1 ltr, 2.5 ltr",400-600 ml,"It is a broad spectrum fungicide with preventive & curative action.
This chemistry is strongly systemic & have translocation activity.
It is compatible with most of the fungicides and insecticides, except for very alkaline product",,https://www.dhanuka.com/storage/products/August2021/pg45rK89HAN2PE3HCe8H.png,https://www.dhanuka.com/fungicide/kasu-b
5,Sixer,Dhanuka,Carbendazim12%+ Mancozeb63%WP,Fungicides,"Sixer is a scientific combination of Mancozeb 63%Wp which is a contact fungicide of the dithiocarbamate group and Carbendazim 12%Wp which is a systemic fungicide of Benzimidazole carbamate group. Its Multisite protective & curative action inhibits spore germination and ensures double protection from inside & from outside.
",Sixer works by inhibiting the development of Fungi by interfering with spindle formation at mitosis ( cell division ) and affects the nervous system by inhibiting spore germination and biochemical processes within fungal pathogen cell.,"Paddy, Groundnut, Potato, Grapes, Mango, Tea, Groundnut",Carbendazim12%+ Mancozeb63%WP,"20 gm, 100 gm, 250 gm, 500 gm, 1 kg","300 gm, 2.5 gm/ Kg Seed, 300 gm, 0.15 % ( Depending on the crop canopy), 0.15 % ( Depending on the crop canopy), 500-600 gm, 300 gm","Sixer effectively controls the fungal diseases by its systemic and contact action.
Sixer helps in increasing the production of field crops and vegetables.
Sixer is a suitable fungicide for Integrated Pest Management (IPM).
Sixer is compatible with commonly used insecticides and fungicides.",,https://www.dhanuka.com/storage/products/August2021/JyiHSNjWeQ7t0FglhNoo.png,https://www.dhanuka.com/fungicide/sixer
6,Fujita,Dhanuka,Isoprothiolane 40% EC,Fungicides,Fujita (Isoprothiolane 40% EC) belongs to dithiolane group. It is a systemic fungicide with curative and protective action. The chemical is absorbed by the leaves and roots and translocate acropetally and basipetally.,"It gets absorbed by the plant and accumulated in the leaf tissues to avoid bacterial invasion, hinder bacterial metabolism and hence inhibits bacterial growth.",Paddy,Isoprothiolane 40% EC,"250 ml, 500 ml, 1 ltr",300 ml,"It is a synergistic systemic fungicide with the two-way transmission.
It can be applied as preventive and curative.
It is an excellent tool to control paddy blast.",,https://www.dhanuka.com/storage/products/May2019/ldhX0y26jDzeJZbDm3e3.png,https://www.dhanuka.com/fungicide/fujita
7,Spectrum,Dhanuka,Azoxystrobin 11% + Tebuconazole 18.3% w/w SC,Fungicides,Spectrum is a world class fungicide containing Azoxystrobin 11% & Tebuconazole 18.3% w/w SC. It inhibits respiration and ergosterol synthesis of the fungus. Spectrum is a powerful combination of Triazole and Strobilurin chemistries &  it exhibits Systemic and Translaminar movement and disperse rapidly in plant system.,It kills fungal cells through inhibition of cell membrane biosynthesis and cellular respiration.,"Apple, Onion, Chilli, Paddy",Azoxystrobin 11% + Tebuconazole 18.3% w/w SC,"100 ml, 250 ml, 500 ml, 1 ltr","300 ml/ acre, 300 ml/ acre, 300 ml/ acre, 300 ml/ acre","Broad Spectrum Control of Diseases, a Single solution for a number of diseases.
Multifunctional Action-Can be used as Protective, Curative & Eradicative.
Its translaminar & systemic movement inhibits new growth of fungus after spray.
It is quickly absorbed by plants & rapidly enters in plant system & starts working.
It gives longer duration control thus reduces the number of sprays for the farmer.
Its dual site action is a perfect fit for resistance management.",,https://www.dhanuka.com/storage/products/July2022/u5sKUqh0ApPohadpLqz6.png,https://www.dhanuka.com/fungicide/spectrum
8,Sheathmar,Dhanuka,Validamycin 3% L,Fungicides,Sheathmar (Validamycin 3% L) is an antibiotic fungicide which controls Sheath blight disease of Rice very effectively. It acts on hyphae and destroys the fungus  by  its contact action and controls the spread  of diseases. Sheathmar is also most effective against soil borne diseases and used for the control of Rhizoctonia solani in rice.,"Sheathmar is non-systemic antibiotic with fungi static action. It causes abnormal branching of the tips of the pathogen, followed by cessation of further development. Being curative in action, it helps to control diseases very fast.",Rice,Validamycin 3% L,"100ml, 250ml, 500ml, 1 ltr, 2.5 ltr, 5 ltr,",600-800 ml,"Sheathmar is safe to crops and the environment and is suitable for Integrated Pest Management (IPM).
Sheathmar is compatible with all the generally used insecticides and fungicides.
Sheathmar remains effective for a long time even after rain.",,https://www.dhanuka.com/storage/products/July2022/XK11teUXWBzQyHZ3yOlT.png,https://www.dhanuka.com/fungicide/sheathmar
9,Vitavax Ultra,Dhanuka,Carboxin 17.5% + Thiram 17.5% FF,Fungicides,"Vitavax Ultra FF is the first quid, dual action (Systemic & Contact) seed treatment fungicide in the country.  It is a broad spectrum systemic(Carboxin 17.5%) and contact (Thiram 17.5%) fungicide for the control of both seed and soilborne diseases. It spreads rapidly and due to its adhesive quality gives uniform long lasting coating to the seed .","Carboxin is a group G, oxathiin, systemic fungicide with protective and curative action. It is also a growth regulator that increases the coleoptile length of cereal seedlings. Thiram is a broad spectrum surface contact fungicide with multi-site action.",Wheat,Carboxin 17.5% + Thiram 17.5% FF,"500 ml, 1 Ltrs",2-3 ml/ Kg Seed,"Vitavax Ultra FF encourages early germination and uniform growth of seedlings and results in more and deeper roots.
It stimulates germination even under adverse conditions (low and heavy rain, shallow and deep sowing, etc )
Vltava Ultra FF treated seeds can be stored for a longer period.",,https://www.dhanuka.com/storage/products/July2022/2VicGvBITaXsQwObQ64o.webp,https://www.dhanuka.com/fungicide/vitavax-ultra
